user_id,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,avg_ticket_size,dining_category_entropy,merchant_novelty_rate,campaign_exposed,income_band_encoded,age_band_encoded,region_encoded,prior_offer_redemption_rate,purchase_qsr_next_30d
1,2,40.63,20,0.213,130.67,77.88,1,19.5,1.2529,0.2506,0,2,2,2,0.4877,0
2,4,33.98,1,0.3078,52.2,85.11,2,8.6,1.2517,0.1167,0,0,0,2,0.2296,0
3,6,125.08,6,0.6242,64.61,61.17,0,21.31,1.3153,0.3688,1,3,0,1,0.6379,1
4,5,92.06,4,0.3565,81.64,35.52,3,17.27,1.1372,0.3141,1,3,4,0,0.3387,0
5,3,47.6,1,0.4922,73.44,95.59,3,15.93,1.4603,0.2418,0,0,3,3,0.541,0
6,7,87.0,30,0.0506,153.03,68.77,1,12.24,1.6115,0.4753,0,2,1,1,0.3118,1
7,4,62.57,2,0.2251,150.03,69.03,1,15.7,1.4022,0.7312,0,2,2,2,0.0137,0
8,6,66.0,7,0.5487,199.91,16.8,0,10.6,1.0362,0.6845,0,1,0,3,0.1522,0
9,7,101.15,2,0.2917,118.72,58.42,2,13.74,1.0972,0.4963,0,1,0,0,0.4905,0
10,1,11.51,27,0.2782,209.76,130.92,2,16.64,1.4183,0.1145,0,2,1,1,0.5411,0
11,5,46.5,16,0.2129,152.65,12.93,1,7.84,1.4431,0.3873,0,0,1,0,0.1468,0
12,0,0.0,90,0.3726,209.4,67.17,2,18.12,1.0939,0.5529,0,2,4,3,0.2262,0
13,5,115.42,7,0.4557,134.94,102.43,1,23.58,0.7816,0.5316,0,1,0,3,0.6946,0
14,2,23.44,24,0.2303,85.7,254.13,3,10.18,1.2142,0.6666,0,0,2,3,0.053,0
15,2,32.26,7,0.3313,74.71,84.81,0,14.58,1.2354,0.4439,0,1,3,1,0.6048,0
16,3,45.53,3,0.119,62.13,25.57,0,13.16,1.4543,0.2179,0,1,0,1,0.3421,0
17,2,28.09,6,0.2363,131.15,72.0,0,12.19,1.2173,0.1519,0,2,2,3,0.464,0
18,2,24.51,7,0.193,57.52,115.75,0,14.03,1.2546,0.3095,0,2,1,3,0.214,0
19,3,41.66,3,0.4424,67.56,108.54,0,13.36,1.7215,0.3921,0,1,1,0,0.0903,0
20,6,92.56,5,0.2862,172.47,131.31,0,16.06,1.0717,0.4245,1,3,1,0,0.4895,1
21,5,54.98,1,0.5765,59.65,8.58,2,9.33,1.309,0.708,0,1,3,1,0.3543,0
22,4,41.68,1,0.1857,147.18,132.17,0,10.24,1.7312,0.2543,1,2,2,2,0.3414,0
23,4,52.71,7,0.2539,63.34,25.46,0,15.26,1.5051,0.829,0,1,0,1,0.1896,0
24,3,47.18,10,0.3673,162.08,41.03,1,16.55,1.3963,0.6314,1,0,1,0,0.4618,0
25,4,55.17,10,0.241,110.79,50.81,1,16.35,0.714,0.2451,0,3,3,3,0.2312,1
26,6,128.07,4,0.3977,116.65,25.93,0,21.13,1.5787,0.7579,0,3,3,1,0.3037,1
27,1,7.94,16,0.8143,130.37,18.65,1,8.35,1.1596,0.2217,0,1,4,0,0.1614,0
28,7,120.17,1,0.0977,101.13,147.41,2,16.89,1.432,0.7912,0,1,3,2,0.3923,0
29,5,96.12,10,0.3204,159.32,117.98,0,17.52,1.4961,0.5245,1,2,1,3,0.3568,1
30,4,87.81,11,0.5247,118.87,40.32,0,21.74,1.7813,0.3427,1,1,0,2,0.5802,0
31,3,41.04,1,0.3227,89.05,36.07,1,14.46,0.9557,0.5872,0,3,2,3,0.3317,0
32,7,144.93,1,0.2353,124.24,162.51,4,21.5,1.7006,0.6253,0,0,2,3,0.5912,1
33,5,55.17,12,0.6516,66.13,87.58,2,11.62,1.5763,0.3264,0,0,2,1,0.292,0
34,0,7.57,36,0.5322,148.46,19.53,0,10.25,1.6448,0.4595,1,0,3,1,0.368,0
35,8,126.77,5,0.3632,196.74,36.74,0,15.95,0.8335,0.4597,1,1,1,0,0.3554,0
36,1,18.81,12,0.2379,27.59,59.85,1,16.29,1.9838,0.8968,0,3,4,2,0.1281,0
37,6,69.16,8,0.3497,64.74,101.71,0,12.17,1.5356,0.4316,0,2,2,2,0.2398,1
38,5,68.46,10,0.6546,105.02,25.67,8,12.28,1.7346,0.5412,0,0,3,2,0.3456,0
39,5,61.42,3,0.1698,156.47,86.13,0,10.06,0.9223,0.6088,0,0,1,2,0.2956,0
40,5,93.81,1,0.7463,86.75,86.62,3,17.84,1.1969,0.2932,0,1,3,0,0.6869,1
41,6,75.43,1,0.1735,141.82,12.93,1,13.46,1.4384,0.6707,1,2,4,1,0.2717,0
