consumer_token,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,merchant_novelty_rate,campaign_exposed,purchase_qsr_next_30d
consumer_0001,1,26.88,27,0.2522,17.79,60.96,2,0.3492,0,0
consumer_0002,0,0.0,27,0.5349,196.39,61.66,1,0.3616,0,0
consumer_0003,4,72.62,30,0.6445,40.97,62.01,1,0.5074,0,1
consumer_0004,5,69.35,36,0.3455,27.93,96.37,1,0.5419,0,0
consumer_0005,1,23.92,31,0.1481,153.02,28.28,0,0.5237,0,0
consumer_0006,6,109.55,28,0.5732,208.87,54.11,1,0.2159,1,1
consumer_0007,2,33.9,20,0.1989,72.83,48.66,1,0.3391,0,0
consumer_0008,2,15.92,32,0.3932,85.01,96.37,2,0.1936,0,1
consumer_0009,3,29.24,37,0.6894,128.24,141.56,2,0.4015,0,0
consumer_0010,2,28.19,1,0.6387,207.78,79.61,1,0.1809,0,0
consumer_0011,3,32.32,45,0.2199,289.62,52.38,1,0.2509,0,0
consumer_0012,1,23.4,8,0.4572,141.11,138.93,1,0.2649,1,0
consumer_0013,2,19.99,43,0.4551,102.79,113.07,1,0.3605,0,0
consumer_0014,2,49.69,39,0.1552,70.71,54.6,1,0.4273,0,0
consumer_0015,1,19.7,21,0.8531,103.65,118.29,2,0.2175,0,1
consumer_0016,3,58.41,38,0.6206,85.71,84.27,0,0.6131,1,0
consumer_0017,0,17.34,2,0.4456,132.17,7.52,1,0.4674,0,0
consumer_0018,6,144.28,25,0.2579,41.37,60.3,1,0.2568,0,0
consumer_0019,1,21.2,6,0.3819,57.24,8.71,1,0.6317,1,0
consumer_0020,6,126.46,13,0.212,134.98,43.01,2,0.6618,1,1
consumer_0021,8,106.67,29,0.5314,100.11,37.82,1,0.3382,1,1
consumer_0022,6,94.64,42,0.3934,59.48,50.34,0,0.5778,1,1
consumer_0023,4,34.29,32,0.3824,172.33,90.11,1,0.1932,0,0
consumer_0024,5,63.89,30,0.3937,82.89,48.04,2,0.2048,1,1
consumer_0025,6,107.93,35,0.4409,116.86,21.34,2,0.4012,1,0
consumer_0026,2,31.86,14,0.3983,41.67,148.99,1,0.5881,1,0
consumer_0027,4,95.75,34,0.1082,120.84,18.85,0,0.2451,1,1
consumer_0028,8,131.67,38,0.4586,71.34,17.18,2,0.1649,0,1
consumer_0029,6,100.23,37,0.2408,27.32,16.49,1,0.6259,0,1
consumer_0030,4,55.1,14,0.5357,208.28,157.66,0,0.4048,1,1
consumer_0031,1,39.69,30,0.4137,104.06,33.68,1,0.1811,0,1
consumer_0032,0,2.28,6,0.4031,91.27,36.61,1,0.3457,0,1
consumer_0033,2,21.83,34,0.2348,18.85,6.83,3,0.5416,0,0
consumer_0034,2,31.36,30,0.7593,43.24,132.33,1,0.2722,1,1
consumer_0035,4,95.34,20,0.1554,85.43,74.94,3,0.4019,1,1
consumer_0036,4,48.23,30,0.0834,87.3,12.42,1,0.4655,0,0
consumer_0037,2,43.96,38,0.4975,100.07,31.51,1,0.4564,1,1
consumer_0038,8,73.63,35,0.2782,149.84,22.94,1,0.3649,0,0
consumer_0039,4,59.91,19,0.5783,109.61,27.32,1,0.3577,0,1
consumer_0040,2,29.76,37,0.2915,19.33,78.54,1,0.4393,0,1
consumer_0041,2,29.89,32,0.1687,64.25,100.28,0,0.2789,0,0
consumer_0042,1,9.53,28,0.3832,117.87,86.98,1,0.2545,1,0
consumer_0043,5,105.27,21,0.361,243.09,41.12,1,0.359,0,0
consumer_0044,0,0.09,6,0.5917,40.52,43.85,1,0.2893,1,0
