user_id,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,avg_ticket_size,dining_category_entropy,merchant_novelty_rate,campaign_exposed,income_band_encoded,age_band_encoded,region_encoded,prior_offer_redemption_rate,purchase_qsr_next_30d
1,4,50.71,15,0.4124,91.59,99.4,2,12.65,1.285,0.0744,1,2,2,2,0.372,0
2,4,82.06,12,0.3829,202.26,51.32,0,18.49,1.6061,0.2491,0,0,0,2,0.2741,0
3,4,50.38,3,0.4366,75.9,25.61,1,12.52,0.8273,0.0736,0,3,0,1,0.5812,0
4,2,32.67,11,0.2682,96.02,54.72,2,17.15,1.0547,0.2299,0,3,4,0,0.4594,0
5,3,42.36,50,0.186,15.91,26.31,2,12.75,1.641,0.1089,0,0,3,3,0.7354,0
6,6,109.78,14,0.2219,214.45,140.39,1,17.63,1.1136,0.5239,0,2,1,1,0.2789,0
7,5,86.73,7,0.4668,50.13,45.19,2,19.67,0.9764,0.2158,1,2,2,2,0.6475,0
8,4,28.39,1,0.5681,242.19,67.1,1,7.27,1.637,0.3311,1,1,0,3,0.3129,0
9,4,67.44,7,0.2246,126.33,18.82,2,16.39,0.9954,0.1688,0,1,0,0,0.4225,0
10,9,129.44,6,0.4846,122.6,23.54,0,13.91,1.1638,0.5354,0,2,1,1,0.7499,0
11,0,5.83,20,0.7106,204.39,47.86,0,8.94,1.2613,0.3246,1,0,1,0,0.6569,0
12,6,102.06,6,0.2613,165.28,64.58,1,17.23,1.5887,0.188,1,2,4,3,0.2967,0
13,4,69.69,4,0.3893,89.25,49.35,0,17.38,1.4336,0.0768,0,1,0,3,0.3599,0
14,5,62.07,10,0.5712,79.9,112.04,0,13.08,1.5409,0.4004,0,0,2,3,0.4783,0
15,5,67.94,9,0.4738,94.2,78.89,4,12.37,1.2107,0.5862,0,1,3,1,0.5602,1
16,2,23.17,40,0.3875,97.03,49.94,1,16.93,1.263,0.158,0,1,0,1,0.3789,0
17,2,15.64,21,0.7945,36.25,128.34,1,11.33,1.4317,0.1955,0,2,2,3,0.2281,0
18,2,43.74,7,0.152,50.22,44.86,3,17.9,1.1194,0.114,1,2,1,3,0.4209,1
19,7,104.14,1,0.4245,161.13,50.88,2,14.91,1.1858,0.323,1,1,1,0,0.6223,1
20,3,57.89,12,0.4417,118.14,45.23,2,20.03,1.7722,0.2912,0,3,1,0,0.3496,0
21,3,69.46,33,0.2202,23.38,29.82,3,21.48,1.3999,0.2467,0,1,3,1,0.0455,1
22,1,5.11,2,0.6658,115.13,73.58,3,13.56,1.0985,0.1087,1,2,2,2,0.376,0
23,5,110.12,2,0.2938,57.73,55.2,4,21.79,0.9268,0.2512,0,1,0,1,0.5193,0
24,4,60.38,11,0.8118,96.87,33.75,1,14.19,1.5158,0.1585,0,0,1,0,0.0681,0
25,5,96.38,18,0.5203,192.96,54.65,3,19.21,1.2816,0.2906,1,3,3,3,0.7227,1
26,7,86.67,10,0.8103,383.88,45.18,0,14.79,1.0289,0.5848,0,3,3,1,0.1269,0
27,1,7.89,24,0.8097,101.4,63.08,0,9.79,1.3778,0.7724,0,1,4,0,0.0806,0
28,8,132.21,0,0.277,150.64,27.47,1,17.14,1.4751,0.5516,0,1,3,2,0.1609,1
