consumer_token,qsr_txn_count_30d,qsr_spend_30d,qsr_recency_days,competitor_qsr_share_90d,grocery_spend_30d,fuel_spend_30d,weekend_dining_frequency,merchant_novelty_rate,campaign_exposed,purchase_qsr_next_30d
consumer_0001,4,49.98,36,0.0585,148.12,65.49,1,0.1502,0,0
consumer_0002,4,59.36,8,0.4016,105.68,86.68,1,0.4296,0,0
consumer_0003,5,78.01,38,0.5955,56.53,97.77,2,0.3762,0,1
consumer_0004,1,33.54,41,0.1479,76.01,115.51,4,0.0513,1,1
consumer_0005,7,138.18,5,0.8046,192.81,81.52,3,0.1625,0,1
consumer_0006,1,36.82,22,0.5604,53.18,27.83,0,0.1833,1,0
consumer_0007,4,43.46,38,0.4039,114.12,52.27,1,0.3771,1,0
consumer_0008,2,39.79,22,0.5491,151.25,48.98,1,0.2492,0,0
consumer_0009,2,50.64,38,0.5833,120.64,45.16,1,0.1736,0,0
consumer_0010,6,115.28,43,0.0676,94.19,65.58,3,0.1709,0,1
consumer_0011,3,62.04,22,0.0721,103.14,38.11,2,0.3133,0,0
consumer_0012,1,30.85,3,0.1449,125.11,38.15,1,0.1742,0,0
consumer_0013,6,79.2,16,0.5192,52.75,139.96,1,0.5201,1,0
consumer_0014,2,23.2,10,0.2499,89.12,42.54,2,0.4535,0,0
consumer_0015,5,81.52,22,0.106,276.64,90.49,1,0.3124,0,0
consumer_0016,0,14.34,27,0.2205,116.19,93.98,2,0.3786,1,0
consumer_0017,2,44.75,21,0.3736,96.22,53.31,0,0.2991,0,1
consumer_0018,2,47.0,9,0.4662,71.26,39.3,2,0.3987,1,0
consumer_0019,3,57.01,14,0.2053,53.15,21.9,2,0.2109,0,0
consumer_0020,4,47.32,31,0.4155,105.2,9.89,2,0.6404,0,0
consumer_0021,0,15.56,2,0.4163,109.56,68.85,1,0.5635,1,0
consumer_0022,2,42.09,10,0.6851,85.5,59.54,2,0.0179,1,0
consumer_0023,2,23.44,41,0.3632,338.91,75.9,1,0.125,1,0
consumer_0024,3,60.72,5,0.8993,56.3,30.65,0,0.3043,0,0
consumer_0025,2,33.51,19,0.2893,47.75,149.09,2,0.3833,1,0
consumer_0026,4,43.4,10,0.2412,71.9,63.27,2,0.1264,0,1
consumer_0027,5,60.63,5,0.4922,87.19,41.34,1,0.4166,0,0
consumer_0028,3,44.09,20,0.62,51.31,5.31,3,0.1689,0,1
consumer_0029,5,74.99,24,0.139,103.7,33.46,0,0.2833,0,1
consumer_0030,3,50.96,8,0.1907,110.41,78.35,3,0.2784,0,1
consumer_0031,1,19.95,4,0.3692,133.72,113.58,3,0.1403,0,1
consumer_0032,2,36.36,7,0.4984,64.68,46.33,2,0.308,1,1
consumer_0033,2,37.51,30,0.1306,183.8,125.71,1,0.1659,1,0
consumer_0034,4,86.41,39,0.3545,128.58,20.48,3,0.1081,1,1
consumer_0035,3,45.14,9,0.6587,55.54,60.81,1,0.0366,0,1
consumer_0036,5,54.91,15,0.3829,51.16,62.02,1,0.3871,1,1
consumer_0037,3,13.66,16,0.3716,75.03,69.23,2,0.3018,0,0
consumer_0038,4,62.7,17,0.7851,110.57,51.07,2,0.2832,0,0
consumer_0039,5,59.16,11,0.4549,120.08,58.5,1,0.1214,1,1
consumer_0040,2,36.65,3,0.5076,128.44,20.05,2,0.1913,0,0
consumer_0041,6,116.81,24,0.6304,266.79,106.55,5,0.3092,0,1
consumer_0042,3,37.9,17,0.458,24.3,84.63,2,0.1758,0,1
consumer_0043,1,35.56,16,0.2976,84.07,56.89,1,0.4973,0,0
