decile,count,score_min,score_max,avg_score,positives,actual_rate,lift,cumulative_positives,cumulative_capture_rate,cumulative_lift
1,20,0.653854,0.853214,0.7377893,16,0.8,2.1052631578947367,16,0.21052631578947367,2.1052631578947367
2,20,0.530398,0.652198,0.5829685,12,0.6,1.5789473684210527,28,0.3684210526315789,1.8421052631578945
3,20,0.468972,0.528682,0.50324675,9,0.45,1.1842105263157894,37,0.4868421052631579,1.6228070175438598
4,20,0.400468,0.463108,0.42893499999999996,10,0.5,1.3157894736842106,47,0.618421052631579,1.5460526315789473
5,20,0.355764,0.398113,0.378644,4,0.2,0.5263157894736842,51,0.6710526315789473,1.3421052631578947
6,20,0.317188,0.352884,0.33102165,4,0.2,0.5263157894736842,55,0.7236842105263158,1.206140350877193
7,20,0.277446,0.310682,0.29570375000000004,5,0.25,0.6578947368421053,60,0.7894736842105263,1.1278195488721805
8,20,0.234445,0.268428,0.2482011,6,0.3,0.7894736842105263,66,0.868421052631579,1.0855263157894737
9,20,0.166929,0.234347,0.20587685000000003,7,0.35,0.9210526315789473,73,0.9605263157894737,1.067251461988304
10,20,0.090651,0.163367,0.13902645,3,0.15,0.39473684210526316,76,1.0,1.0
