feature,segment,count,count_share,avg_score,actual_rate,calibration_gap,abs_calibration_gap,lift_vs_overall,brier_score,risk_level,risk_reason
qsr_txn_count_30d,"(2.0, 3.0]",36,0.18,0.33514169444444447,0.2222222222222222,0.11291947222222226,0.11291947222222226,0.5847953216374269,0.17834183924380553,Medium,Medium because absolute calibration gap 0.113 is at or above 0.100.
qsr_spend_30d,"(31.197, 48.995]",50,0.25,0.31131002,0.2,0.11131002000000001,0.11131002000000001,0.5263157894736842,0.18303883176954003,Medium,Medium because absolute calibration gap 0.111 is at or above 0.100.
qsr_spend_30d,"(48.995, 72.672]",50,0.25,0.39353036,0.5,-0.10646963999999998,0.10646963999999998,1.3157894736842106,0.25035456561276,Medium,Medium because absolute calibration gap 0.106 is at or above 0.100.
grocery_spend_30d,"(132.072, 289.62]",50,0.25,0.37613242,0.28,0.09613242,0.09613242,0.736842105263158,0.16198938163942003,Low,Low because segment calibration gap did not cross configured thresholds.
grocery_spend_30d,"(91.125, 132.072]",50,0.25,0.38204344,0.46,-0.07795656000000001,0.07795656000000001,1.2105263157894737,0.2543408327686,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_recency_days,"(25.0, 36.0]",49,0.245,0.37303240816326527,0.4489795918367347,-0.07594718367346942,0.07594718367346942,1.1815252416756177,0.21592288595534692,Low,Low because segment calibration gap did not cross configured thresholds.
merchant_novelty_rate,"(0.237, 0.343]",50,0.25,0.37001508,0.3,0.07001508000000001,0.07001508000000001,0.7894736842105263,0.19082083396368,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_recency_days,"(36.0, 45.0]",49,0.245,0.2929073469387755,0.22448979591836735,0.06841755102040817,0.06841755102040817,0.5907626208378088,0.16818326373816328,Low,Low because segment calibration gap did not cross configured thresholds.
merchant_novelty_rate,"(0.343, 0.466]",50,0.25,0.39230656,0.46,-0.06769344,0.06769344,1.2105263157894737,0.23879196289528,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_recency_days,"(13.0, 25.0]",51,0.255,0.44613745098039215,0.39215686274509803,0.053980588235294114,0.053980588235294114,1.0319917440660475,0.22559589202521566,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_txn_count_30d,"(3.0, 5.0]",55,0.275,0.49177376363636366,0.5454545454545454,-0.053680781818181755,0.053680781818181755,1.4354066985645932,0.24068196176514547,Low,Low because segment calibration gap did not cross configured thresholds.
merchant_novelty_rate,"(0.0484, 0.237]",50,0.25,0.4017209,0.36,0.041720900000000005,0.041720900000000005,0.9473684210526315,0.19718995050146002,Low,Low because segment calibration gap did not cross configured thresholds.
grocery_spend_30d,"(2.519, 57.073]",50,0.25,0.37831492,0.34,0.038314919999999975,0.038314919999999975,0.8947368421052632,0.23477639120344002,Low,Low because segment calibration gap did not cross configured thresholds.
grocery_spend_30d,"(57.073, 91.125]",50,0.25,0.40407456,0.44,-0.035925439999999975,0.035925439999999975,1.1578947368421053,0.17730176299911998,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_txn_count_30d,"(5.0, 10.0]",27,0.135,0.6338315185185186,0.6666666666666666,-0.03283514814814803,0.03283514814814803,1.7543859649122806,0.20751213880544445,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_recency_days,"(0.999, 13.0]",51,0.255,0.4243962549019608,0.45098039215686275,-0.02658413725490194,0.02658413725490194,1.1867905056759547,0.21752601180903922,Low,Low because segment calibration gap did not cross configured thresholds.
merchant_novelty_rate,"(0.466, 0.908]",50,0.25,0.3765228,0.4,-0.02347720000000003,0.02347720000000003,1.0526315789473684,0.20160562125016,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_spend_30d,"(72.672, 151.4]",50,0.25,0.61122768,0.6,0.011227680000000073,0.011227680000000073,1.5789473684210527,0.22001809751004,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_txn_count_30d,"(-0.001, 2.0]",82,0.41,0.25368485365853655,0.24390243902439024,0.009782414634146308,0.009782414634146308,0.6418485237483954,0.19707044601124393,Low,Low because segment calibration gap did not cross configured thresholds.
qsr_spend_30d,"(-0.001, 31.197]",50,0.25,0.22449728,0.22,0.004497279999999992,0.004497279999999992,0.5789473684210527,0.17499687371824,Low,Low because segment calibration gap did not cross configured thresholds.
