feature,mean_abs_shap_value
qsr_spend_30d,0.5466744650029831
qsr_txn_count_30d,0.3632551622235957
weekend_dining_frequency,0.190280622050203
qsr_recency_days,0.1901246976973951
campaign_exposed,0.1560927895716883
competitor_qsr_share_90d,0.12528978634752358
prior_offer_redemption_rate,0.10008178650081233
fuel_spend_30d,0.09091569885442981
merchant_novelty_rate,0.07916958143880547
avg_ticket_size,0.0712547398859482
dining_category_entropy,0.05777720928584901
grocery_spend_30d,0.05457981630829438
age_band_encoded,0.03720871274829929
region_encoded,0.03240067710615257
income_band_encoded,0.015076213987467786
